Migration Rate,Year,Area Code,Area Name,Age,Total Pop
2000-2010,2015,163,Frio,4,231
2000-2010,2015,165,Gaines,0,339
2000-2010,2015,165,Gaines,1,342
2000-2010,2015,165,Gaines,2,344
2000-2010,2015,165,Gaines,3,342
2000-2010,2015,165,Gaines,4,347
2000-2010,2015,167,Galveston,0,"4,162"
2000-2010,2015,167,Galveston,1,"4,149"
2000-2010,2015,167,Galveston,2,"4,154"
2000-2010,2015,167,Galveston,3,"4,151"
2000-2010,2015,167,Galveston,4,"4,145"
2000-2010,2015,169,Garza,0,77
2000-2010,2015,169,Garza,1,80
2000-2010,2015,169,Garza,2,78
2000-2010,2015,169,Garza,3,79
2000-2010,2015,169,Garza,4,76
2000-2010,2015,171,Gillespie,0,283
2000-2010,2015,171,Gillespie,1,281
2000-2010,2015,171,Gillespie,2,269
2000-2010,2015,171,Gillespie,3,266
2000-2010,2015,171,Gillespie,4,251
2000-2010,2015,173,Glasscock,0,16
2000-2010,2015,173,Glasscock,1,16
2000-2010,2015,173,Glasscock,2,16
2000-2010,2015,173,Glasscock,3,15
2000-2010,2015,173,Glasscock,4,14
2000-2010,2015,175,Goliad,0,74
2000-2010,2015,175,Goliad,1,74
2000-2010,2015,175,Goliad,2,70
2000-2010,2015,175,Goliad,3,67
2000-2010,2015,175,Goliad,4,67
2000-2010,2015,177,Gonzales,0,321
2000-2010,2015,177,Gonzales,1,322
2000-2010,2015,177,Gonzales,2,312
2000-2010,2015,177,Gonzales,3,314
2000-2010,2015,177,Gonzales,4,302
2000-2010,2015,179,Gray,0,354
2000-2010,2015,179,Gray,1,349
2000-2010,2015,179,Gray,2,351
2000-2010,2015,179,Gray,3,345
2000-2010,2015,179,Gray,4,343
2000-2010,2015,181,Grayson,0,"1,518"
2000-2010,2015,181,Grayson,1,"1,524"
2000-2010,2015,181,Grayson,2,"1,511"
2000-2010,2015,181,Grayson,3,"1,512"
2000-2010,2015,181,Grayson,4,"1,511"
2000-2010,2015,183,Gregg,0,"1,919"
2000-2010,2015,183,Gregg,1,"1,901"
2000-2010,2015,183,Gregg,2,"1,883"
2000-2010,2015,183,Gregg,3,"1,855"
2000-2010,2015,183,Gregg,4,"1,840"
2000-2010,2015,185,Grimes,0,340
2000-2010,2015,185,Grimes,1,334
2000-2010,2015,185,Grimes,2,325
2000-2010,2015,185,Grimes,3,323
2000-2010,2015,185,Grimes,4,311
2000-2010,2015,187,Guadalupe,0,"1,780"
2000-2010,2015,187,Guadalupe,1,"1,754"
2000-2010,2015,187,Guadalupe,2,"1,736"
2000-2010,2015,187,Guadalupe,3,"1,733"
2000-2010,2015,187,Guadalupe,4,"1,764"
2000-2010,2015,189,Hale,0,643
2000-2010,2015,189,Hale,1,639
2000-2010,2015,189,Hale,2,635
2000-2010,2015,189,Hale,3,633
2000-2010,2015,189,Hale,4,626
2000-2010,2015,191,Hall,0,39
2000-2010,2015,191,Hall,1,37
2000-2010,2015,191,Hall,2,38
2000-2010,2015,191,Hall,3,37
2000-2010,2015,191,Hall,4,37
2000-2010,2015,193,Hamilton,0,97
2000-2010,2015,193,Hamilton,1,94
2000-2010,2015,193,Hamilton,2,93
2000-2010,2015,193,Hamilton,3,92
2000-2010,2015,193,Hamilton,4,92
2000-2010,2015,195,Hansford,0,90
2000-2010,2015,195,Hansford,1,86
2000-2010,2015,195,Hansford,2,87
2000-2010,2015,195,Hansford,3,86
2000-2010,2015,195,Hansford,4,79
2000-2010,2015,197,Hardeman,0,53
2000-2010,2015,197,Hardeman,1,50
